Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location,Sale Amount Outlier
160228,2016,01/25/2017,Torrington,23 WILLIAMS AVE,69920.0,79000.0,0.885063291,Single Family,Single Family,25 - Other,A/S=.89,PER MLS PRICED TO SETTLE ESTATE,POINT (-73.13337 41.81201),False
171001,2017,03/09/2018,Bridgeport,531 CHOPSEY HILL RD,97860.0,149900.0,0.652835223,Single Family,Single Family,25 - Other,DISTRESS SALE,SHORT SALE PER MLS,POINT (-73.19738 41.20926),False
17461,2017,04/04/2018,Hartford,166 CLEVELAND AV,37065.0,35000.0,1.059,Single Family,Single Family,25 - Other,Motivated Seller Below market,NO MLS,POINT (-72.67242 41.79631),False
17550,2017,05/17/2018,Hartford,25 POMFRET ST,46550.0,105000.0,0.443333333,Single Family,Single Family,25 - Other,Motivated Seller Below market,"PER MLS SALE PRICE = $110,000",POINT (-72.70271 41.80143),False
17818,2017,08/29/2018,Hartford,256 CAPEN ST,43820.0,85000.0,0.515529412,Two Family,Two Family,25 - Other,Motivated Seller Below market,NO MLS,POINT (-72.68435 41.78639),False
17030,2017,12/07/2017,New Hartford,184 WEST HILL ROAD,177520.0,215000.0,0.825674419,Single Family,Single Family,07 - Change in Property,SENT SALES VERIFICATION,TOTAL REMODEL PER MLS,POINT (-73.00829 41.8772),False
1700123,2017,12/12/2017,East Haven,19 GEORGE ST,93350.0,95000.0,0.982631579,Single Family,Single Family,25 - Other,RATIO TOO HIGH,ESTATE SALE,POINT (-72.86976 41.2478),False
17021,2017,10/06/2017,Hartford,25 SALEM ST,46725.0,91000.0,0.513461538,Single Family,Single Family,25 - Other,Motivated Seller Below market,PER MLS CASH ONLY - SOLD AS IS,POINT (-72.69075 41.73001),False
1700094,2017,12/29/2017,Brookfield,32 SKYLINE DR,327260.0,290500.0,1.126540448,Single Family,Single Family,14 - Foreclosure,COMMITTEE DEED/FORECLOSURE,SEE ASSESSOR REMARK,POINT (-73.43961 41.48077),False
170067,2017,12/21/2017,Ledyard,8 BARN RD,110740.0,95000.0,1.165684211,Single Family,Single Family,25 - Other,UNKNOWN CIRCUMSTANCES OF SALE,PURCHASE TO FLIP - RESOLD OCTOBER 2018,POINT (-72.04445 41.48342),False
170019,2017,12/04/2017,Woodbridge,16 COW PATH LN,387940.0,301000.0,1.288837209,Single Family,Single Family,07 - Change in Property,FATHER WENT TO JAIL LEFT VACANT FOR YEARS,SHORT SALE PER MLS,POINT (-72.99028 41.36214),False
170001,2017,10/02/2017,Middlebury,150 NORTHRIDGE DR,650900.0,1100000.0,0.591727273,Single Family,Single Family,25 - Other,Colonial,"PER MLS SALE PRICE = $960,000",POINT (-73.12918 41.55027),False
170982,2017,04/20/2018,Milford,206 MEADOWSIDE RD,146970.0,245000.0,0.599877551,Single Family,Single Family,07 - Change in Property,HOUSE UPDATED AFTER 10/1/17,SEE PREVIOUS SALE #170332,POINT (-73.07014 41.21059),False
1700235,2017,03/21/2018,East Haven,24 COUNTY WALK LN,203610.0,199900.0,1.01855928,Condo,Condo,25 - Other,RATIO TOO HIGH,"TOWN SITE LISTS ASSESS = $164,570",POINT (-72.88123 41.28208),False
17110,2017,12/01/2017,Newington,235 EAST ROBBINS,117150.0,140000.0,0.836785714,Single Family,Single Family,07 - Change in Property,Sale is not between a willing buyer and a willing seller,PER MLS MAJOR WORK NEEDED,POINT (-72.71122 41.68772),False
1700266,2017,03/21/2018,New Milford,24 COLONIAL RDG RD,232680.0,275000.0,0.846109091,Single Family,Single Family,25 - Other,SALES RATIO,"PER MLS SALE PRICCE = $272,000",POINT (-73.49206 41.63907),False
170929,2017,05/22/2018,Naugatuck,51-3A BROOK STREET,68990.0,105000.0,0.657047619,Condo,Condo,07 - Change in Property,ARMS LENGTH SALE,TOTAL REMODEL PER MLS - SEE PREVIOUS SALE #170156,POINT (-73.03623 41.49797),False
1700238,2017,03/23/2018,East Haven,346 COE AVE,151280.0,165000.0,0.916848485,Single Family,Single Family,25 - Other,RATIO TOO HIGH,NEEDS WORK PER MLS,POINT (-72.87239 41.25745),False
170010,2017,10/04/2017,New Haven,577 ELLSWORTH AVENE,222950.0,255000.0,0.874313725,Single Family,Single Family,25 - Other,BELOW MARKET,PER MLS SOLD AS IS WHERE IS,POINT (-72.94323 41.326),False
1700413,2017,06/15/2018,New Milford,3 FOX RIDGE DR,424410.0,525000.0,0.8084,Single Family,Single Family,25 - Other,SALES RATIO,ESTATE SALE,POINT (-73.35685 41.57301),False
170196,2017,11/02/2017,Bridgeport,170-172 LIVINGSTON PLACE,175570.0,155000.0,1.132709677,Three Family,Three Family,25 - Other,DISTRESS SALE,SHORT SALE PER MLS,POINT (-73.17977 41.20783),False
1700136,2017,12/22/2017,East Haven,214 GRANNIS ST,140420.0,175000.0,0.8024,Single Family,Single Family,25 - Other,RATIO TOO HIGH,ESTATE SALE,POINT (-72.86425 41.30477),False
170261,2017,01/22/2018,New Haven,1A HEMINGWAY,36330.0,27500.0,1.321090909,Condo,Condo,25 - Other,BELOW MARKEt,NO MLS,POINT (-72.87883 41.31354),False
170396,2017,12/11/2017,Bridgeport,196 POPLAR ST,148660.0,120000.0,1.238833333,Three Family,Three Family,25 - Other,SOLD BELOW MARKET VALUE,PER MLS MUST BE 203K REHAB LOAN OR CASH,POINT (-73.2143 41.17393),False
1700416,2017,06/18/2018,New Milford,2 GOOD HILL RD,137760.0,232000.0,0.593793103,Single Family,Single Family,25 - Other,SALES RATIO,NO MLS,POINT (-73.40883 41.60213),False
17014,2017,10/04/2017,Hartford,49 WOODSTOCK ST,35840.0,60000.0,0.597333333,Single Family,Single Family,25 - Other,Motivated Seller Below market,SHORT SALE PER MLS,POINT (-72.6925 41.79931),False
171476,2017,06/08/2018,Bridgeport,226 OVERLAND AVE,111030.0,86367.0,1.285560457,Single Family,Single Family,25 - Other,SOLD BELOW MARKET VALUE,"PER MLS SALE PRICE = $160,000",POINT (-73.21168 41.21487),False
1700071,2017,11/13/2017,East Haven,18 PENNSYLVANIA AVE,112690.0,130000.0,0.866846154,Single Family,Single Family,25 - Other,RATIO TOO HIGH,ESTATE SALE,POINT (-72.87132 41.27233),False
170143,2017,12/06/2017,New Haven,348 HUMPHREY ST,380030.0,376000.0,1.010718085,Three Family,Three Family,25 - Other,BELOW MARKET,SHORT SALE STATUS UNDECLARED PER MLS,POINT (-72.9153 41.3157),False
17197,2017,12/15/2017,Hartford,34 GILMAN ST,33110.0,55000.0,0.602,Three Family,Three Family,25 - Other,Motivated Seller Below market,NO MLS,POINT (-72.67898 41.73739),False
17104,2017,11/28/2017,Newington,38 BRIARWOOD RD,132950.0,148000.0,0.898310811,Single Family,Single Family,25 - Other,Sale is not between a willing buyand a willing seller,PER MLS PRICE REFLECTS WORK NEEDED - SOLD AS IS,POINT (-72.72822 41.71317),False
170453,2017,07/10/2018,Groton,65 SPICER AVE,114310.0,92500.0,1.235783784,Single Family,Single Family,25 - Other,SENDING SALES QUESTIONNAIRE,DISTRESSED SALE - GRANTOR ALSO HAD PROPERTY FORCLOSURE IN NEW LONDON,POINT (-72.07963 41.36109),False
17405,2017,03/15/2018,Hartford,342 SIGOURNEY ST,27125.0,50000.0,0.5425,Three Family,Three Family,25 - Other,Motivated Seller Below market,NO MLS,POINT (-72.69141 41.77713),False
170131,2017,02/20/2018,New London,157 ONECO AVE,100240.0,3000000.0,0.033413333,Four Family,Four Family,24 - Plottage,"SOLD ON SAME DEED 151, 161 165 171 ONECO AVE","ALSO SEE #170135, 170137, 170138, 170139",POINT (-72.10143 41.37931),False
17043,2017,03/23/2018,Columbia,21 LAKE ROAD,162900.0,84395.0,1.930209136,Single Family,Single Family,25 - Other,CODE 03,NOT A VALID SALE PER TOWN SITE,POINT (-72.32182 41.70947),False
1700159,2017,01/09/2018,East Haven,17 CHARNES DR,180330.0,205000.0,0.879658537,Single Family,Single Family,25 - Other,RATIO TOO HIGH,SHORT SALE PER MLS,POINT (-72.85289 41.33082),False
170205,2017,05/21/2018,Rocky Hill,49 FERNWOOD DRIVE,166600.0,125000.0,1.3328,Single Family,Single Family,25 - Other,SALES RATIO TOO HIGH,NO MLS,POINT (-72.67535 41.66234),False
170290,2017,02/08/2018,New Haven,387 SHELTON AVENUE,109970.0,107500.0,1.022976744,Three Family,Three Family,25 - Other,BELOW MARKET,ESTATE SALE,POINT (-72.93078 41.33373),False
170326,2017,03/19/2018,Southington,4 THREE GARDENS TERR,48600.0,99900.0,0.486486486,Single Family,Single Family,25 - Other,CONDITION,NO MLS,POINT (-72.87284 41.62526),False
1700226,2017,02/23/2018,New Milford,561 DANBURY RD,225890.0,575000.0,0.392852174,Single Family,Single Family,25 - Other,SALES RATIO,"PER MLS SOLD AS COMMERCIAL LAND - PER TOWN CARD HOUSE REMOVED AND NEW LAND ASSESS = $357,630",POINT (-73.42035 41.50923),False
170550,2017,01/08/2018,Bridgeport,1169 IRANISTAN AVE,123950.0,45000.0,2.754444444,Single Family,Single Family,25 - Other,SOLD BELOW MARKET VALUE,FIRE DAMAGE PER MLS,POINT (-73.20156 41.17657),False
170099,2017,02/06/2018,Clinton,14 OLD MILL RD UNIT 18,5400.0,32500.0,0.166153846,Single Family,Single Family,25 - Other,MOBILE HOME ONLY ON LEASED LAND,SOLD FOR 4 1/2 TIMES TOWN MARKET VALUE,POINT (-72.52646 41.28558),False
170330,2017,09/05/2018,Rocky Hill,207 OLD MAIN STREET,141190.0,157000.0,0.899299363,Single Family,Single Family,25 - Other,SALES RATIO TOO HIGH,PER MLS RENOVATION LOAN OR CASH SALE. SOLD AS IS.,POINT (-72.64669 41.67958),False
170246,2017,01/09/2018,Manchester,62 HIGH STREET,93900.0,80000.0,1.17375,Single Family,Single Family,25 - Other,WARRANTY DEED,SHORT SALE PER MLS,POINT (-72.53218 41.76904),False
170134,2017,02/20/2018,New London,171 ONECO AVE,266770.0,3000000.0,0.088923333,Four Family,Four Family,24 - Plottage,SOLD ON SAME DEED 151 157 161 165 ONECO AVE,"ALSO SEE #170135, 170136, 170137, 170138",POINT (-72.10159 41.37977),False
170465,2017,04/17/2018,New Haven,39 READ ST,104860.0,100000.0,1.0486,Three Family,Three Family,25 - Other,BELOW MARKET,NEEDS RENOVATIONS PER MLS,POINT (-72.92659 41.33262),False
181286,2018,09/25/2019,Danbury,1 ENCLAVE DR,535100.0,656995.0,0.814465864,Condo,Condo,07 - Change in Property,C16045-1,"NEW CONSTRUCTION - 2018 ASSESS = $189,000 PER TOWN SITE",POINT (-73.51974 41.38441),False
180148,2018,04/29/2019,Clinton,133 WEST MAIN ST LOT C-4,33400.0,4500.0,7.422222222,Single Family,Single Family,25 - Other,MOBILE HOME ONLY ON LEASED LOT,BELOW MARKET - RATIO,POINT (-72.54104 41.2775),False
170261,2017,07/06/2018,Rocky Hill,244 OLD MAIN STREET,160370.0,100000.0,1.6037,Single Family,Single Family,25 - Other,SALES RATIO TOO HIGH,NEEDS MAJOR WORK PER MLS,POINT (-72.64655 41.67938),False
170073,2017,02/09/2018,Oxford,73 REES DR,200100.0,201338.0,0.993851136,Single Family,Single Family,14 - Foreclosure,RATIO VERY LOW,FORECLOSURE PER TOWN SITE,POINT (-73.11423 41.40485),False
180247,2018,11/27/2018,Danbury,5 WOODSIDE AVE #B-17,53800.0,120000.0,0.448333333,Condo,Condo,25 - Other,RATIO TOO LOW / L13046-30,NO MLS,POINT (-73.42148 41.39979),False
181209,2018,09/04/2019,Danbury,136 DEER HILL AV A-1,56500.0,175000.0,0.322857143,Condo,Condo,25 - Other,RATIO TOO LOW / I15119-1,UPDATED UNIT PER MLS,POINT (-73.45281 41.38993),False
180428,2018,01/28/2019,Danbury,17 HARRISON ST,142400.0,175000.0,0.813714286,Single Family,Single Family,25 - Other,J15302,HOUSE NEEDS MAJOR WORK PER MLS,POINT (-73.43631 41.38653),False
170129,2017,06/01/2018,Thompson,14 SUNSHINE TER,27800.0,90000.0,0.308888889,Single Family,Single Family,25 - Other,MOBILE,PER MLS HOUSE IS A MODULAR HOME NOT A MOBILE HOME,POINT (-71.94748 42.00799),False
170275,2017,05/10/2018,Vernon,90 VALLEY FALLS RD,168980.0,110000.0,1.536181818,Single Family,Single Family,25 - Other,UNKNOWN REASON,"PURCAHSE TO FLIP - RESOLD DECEMBER 2018 $269,900",POINT (-72.45789 41.82812),False
1800584,2018,09/26/2019,New Milford,4 MORETTA LN,250530.0,150000.0,1.6702,Single Family,Single Family,07 - Change in Property,SALES RATIO,TORNADO DAMAGE PER MLS,POINT (-73.43501 41.51014),False
1800408,2018,06/27/2019,New Milford,514 CANDLEWOOD LK N,142380.0,283000.0,0.503109541,Single Family,Single Family,25 - Other,SALES RATIO,ASSESSMENT INCREASE AFTER SALE,POINT (-73.42574 41.52224),False
170276,2017,05/11/2018,Vernon,90 VILLAGE ST,92630.0,87500.0,1.058628571,Two Family,Two Family,14 - Foreclosure,UNKNOWN REASON,BANK OWNED PER MLS,POINT (-72.45737 41.86628),False
170069,2017,11/20/2017,Vernon,55 PROSPECT ST,144980.0,75000.0,1.933066667,Single Family,Single Family,14 - Foreclosure,UNKNOWN REASON,SALE OF FORECLOSED PROPERTY,POINT (-72.44729 41.86966),False
170025,2017,10/31/2017,Oxford,12 HURLEY RD,185400.0,180000.0,1.03,Single Family,Single Family,25 - Other,Buyer purchased home for less than assessed value.,PER MLS SOLD AS IS,POINT (-73.14233 41.47727),False
170001,2017,10/23/2017,Scotland,631 HANOVER RD,115510.0,130000.0,0.888538462,Single Family,Single Family,14 - Foreclosure,SOLD ABOVE LIST PRICE OF $105K.,BANK OWNED PER MLS,POINT (-72.05956 41.66286),False
180361,2018,01/03/2019,Danbury,2108 EATON CT,205900.0,299000.0,0.688628763,Condo,Condo,25 - Other,K09098-98,ESTATE SALE - RESOLD WITH MINOR UPDATING #181203,POINT (-73.42612 41.42207),False
170625,2017,07/31/2018,Torrington,114 PYTHIAN AVE,115890.0,77000.0,1.505064935,Two Family,Two Family,14 - Foreclosure,2 FAM AND WAREHOUSE,BANK OWNED PER MLS,POINT (-73.11805 41.81254),False
17690,2017,09/21/2018,Newington,178 CHURCHILL DRIVE,75990.0,74500.0,1.02,Condo,Condo,25 - Other,Sale is not between a willing buyer and a willing seller,PER MLS PRICED FOR IMMEDIATE SALE - WILL INCLUDE SOME HOUSEHOLD ITEMS,POINT (-72.71758 41.67689),False
180152,2018,05/02/2019,Cromwell,480 MAIN ST,221130.0,200000.0,1.10565,Single Family,Single Family,25 - Other,DESIRABLE LOCATION,SHORT SALE PER MLS,POINT (-72.65138 41.61119),False
170362,2017,04/09/2018,Southington,64 VICKI LN,219340.0,215000.0,1.020186047,Single Family,Single Family,25 - Other,CONDITION,PURCHASE TO FLIP - ALSO SEE #170848,POINT (-72.89353 41.61416),False
180148,2018,10/24/2018,Bridgeport,210 MOFFITT ST,174310.0,320000.0,0.54471875,Single Family,Single Family,07 - Change in Property,NEW CONSTRUCTION,DUPLICATE ENTRY - SEE #180142,POINT (-73.19535 41.21243),False
1800046,2018,10/17/2018,New Milford,8 RIDGE RD,334880.0,250000.0,1.33952,Single Family,Single Family,07 - Change in Property,SALES RATIO,PER MLS HOUSE NEEDS EXTENSIVE WORK - SOLD AS IS,POINT (-73.3682 41.57958),False
18260,2018,05/21/2019,Farmington,3 JEFFERSON CROSSING,909870.0,1675000.0,0.54320597,Single Family,Single Family,25 - Other,RELOCATION SALE,SEE #18261,POINT (-72.8041 41.75808),False
180411,2018,09/03/2019,Simsbury,8 CARSON WAY,338740.0,533278.0,0.635203402,Condo,Condo,07 - Change in Property,PUD,NEW CONSTRUCTION,POINT (-72.82426 41.85673),False
180144,2018,04/26/2019,Cromwell,2121 CROMWELL HILLS DR,50890.0,87500.0,0.5816,Condo,Condo,07 - Change in Property,DESIRABLE LOCATION,UPDATED UNIT PER MLS - SEE PREVIOUS SALE #180043,POINT (-72.67675 41.60718),False
180446,2018,04/23/2019,Griswold,1601 GLASGO RD,120260.0,135000.0,0.890814815,Single Family,Single Family,14 - Foreclosure,POST FORECLOSURE,LENDER IS SELLING THE PROPERTY PER MLS,POINT (-71.89556 41.57507),False
181020,2018,07/17/2019,Danbury,45 BECKERLE ST,201800.0,144000.0,1.401388889,Two Family,Two Family,25 - Other,RATIO TOO HIGH / H10030,NO MLS,POINT (-73.46638 41.41507),False
181184,2018,08/28/2019,Danbury,81-95 PARK AV #404,98600.0,186000.0,0.530107527,Condo,Condo,25 - Other,RATIO TOO LOW / H15124-27,UPDATED UNIT PER MLS,POINT (-73.46318 41.38556),False
180506,2018,07/03/2019,Griswold,61 SOUTH MAIN ST  UNIT 507,87640.0,112900.0,0.776262179,Condo,Condo,14 - Foreclosure,POST FORECLOSURE,BANK SALE PER MLS,POINT (-72.64947 41.55449),False
1800077,2018,06/11/2019,Sterling,346 GIBSON HILL RD,195550.0,255000.0,0.766862745,Single Family,Single Family,07 - Change in Property,CAPE BUILT IN 1968 ON 6.7 ACRES,TOTAL RENOVATION PER MLS - SEE PREVIOUS SALE #1800037,POINT (-71.79828 41.72068),False
180379,2018,01/09/2019,Danbury,126 TRIANGLE ST #B-9,60800.0,133500.0,0.455430712,Condo,Condo,25 - Other,RATIO TOO LOW / J14264-62,NO MLS,POINT (-73.4349 41.39592),False
180068,2018,12/26/2018,Plymouth,3 MAIN ST,10770.0,185000.0,0.058216216,Single Family,Single Family,25 - Other,COMBINED WITH 1 MAIN ST,COMBINED SALE WITH #180067,POINT (-72.99156 41.67989),False
1800530,2018,08/28/2019,New Milford,6 LEA LN,155580.0,275000.0,0.565745455,Single Family,Single Family,25 - Other,SALES RATIO,ASSESSMENT INCREASE AFTER SALE,POINT (-73.40334 41.57871),False
181218,2018,09/05/2019,Danbury,1 HILLSIDE ST,111500.0,110000.0,1.013636364,Single Family,Single Family,25 - Other,RATIO TOO HIGH / H15094,PER MLS NEEDS LOTS OF WORK,POINT (-73.46269 41.38955),False
181295,2018,09/26/2019,Danbury,21-1 FAIRVIEW DR,63400.0,135000.0,0.46962963,Condo,Condo,25 - Other,RATIO TOO LOW / H16104-76,UPDATED UNIT PER MLS,POINT (-73.46099 41.38528),False
1800364,2018,05/29/2019,New Milford,52 GREEN POND RD,107310.0,240000.0,0.447125,Single Family,Single Family,07 - Change in Property,SALES RATIO,PER MLS FULLY FINISHED BASEMENT WITH FULL BATH,POINT (-73.46321 41.56821),False
180157,2018,07/22/2019,Thompson,9 GREENE ISLAND,56500.0,56000.0,1.008928571,Single Family,Single Family,25 - Other,WATERFRONT,PER MLS PRICED TO REFLECT NEEDED IMPROVEMENTS. NO SEPTIC - HOLDING TANK ONLY.,POINT (-71.81558 41.95076),False
181303,2018,09/30/2019,Danbury,30 BENSON DR,193700.0,50000.0,3.874,Single Family,Single Family,25 - Other,RATIO TOO HIGH / C17023,2019 ASSESSMENT DRASTICALLY REDUCED,POINT (-73.51509 41.37739),False
180010,2018,10/02/2018,Vernon,57 ELIZABETH LN,161620.0,140000.0,1.154428571,Condo,Condo,25 - Other,UNKNOWN REASON,PER MLS PRICED LOWER DUE TO NEED FOR CLEANING AND PAINTING,POINT (-72.4717 41.83239),False
180805,2018,06/03/2019,Danbury,5 BEAVER ST,184300.0,200000.0,0.9215,Three Family,Three Family,25 - Other,RATIO TOO HIGH / H14285,SHORT SALE PER MLS,POINT (-73.46174 41.3934),False
18358,2018,09/05/2019,Montville,6 CRANDALL HILL #4,8630.0,5000.0,1.726,Single Family,Single Family,25 - Other,MOBILE HOME,RATIO,POINT (-72.12979 41.44909),False
1800250,2018,03/06/2019,New Milford,4 BEL AIR,32480.0,82500.0,0.39369697,Condo,Condo,07 - Change in Property,SALES RATIO,RENOVATIONS PER MLS,POINT (-73.40456 41.6068),False
180104,2018,06/27/2019,Woodbridge,7 MARION LN,558390.0,650000.0,0.859061538,Single Family,Single Family,25 - Other,RELOCATION COMPANY,ALSO SEE #180105,POINT (-73.00188 41.34628),False
1800039,2018,02/28/2019,Sterling,644 MARGARET HENRY RD,121450.0,305000.0,0.398196721,Single Family,Single Family,07 - Change in Property,CAPE BUILT 2018 ON 4 ACRES,NEW CONSTRUCTION,POINT (-71.82244 41.75057),False
180034,2018,11/21/2018,North Branford,6 FARMINGTON DRIVE,85200.0,480940.0,0.177153075,Single Family,Single Family,07 - Change in Property,PROP DIFF BETWEEN SALE AND ASSESSED,NEW CONSTRUCTION,POINT (-72.81317 41.71501),False
180050,2018,10/11/2018,Danbury,77 KOHANZA ST,49800.0,117500.0,0.423829787,Condo,Condo,25 - Other,RATIO TOO LOW / H12033-28,"PER MLS SALE PRICE = $114,000",POINT (-73.4673 41.40314),False
1800588,2018,09/27/2019,New Milford,290 WELLSVILLE AVE,177660.0,150000.0,1.1844,Single Family,Single Family,25 - Other,SALES RATIO,PER MLS NEEDS REPAIRS AND UPDATES INCLUDING SEPTIC,POINT (-73.41756 41.59321),False
180659,2018,07/25/2019,Torrington,27 FUNSTON AVE,78710.0,75000.0,1.049466667,Single Family,Single Family,25 - Other,HIGH SALES RATIO,NEEDS NEW ROOF PER MLS,POINT (-73.12874 41.79823),False
181108,2018,08/05/2019,Danbury,11 HAMILTON DR,171500.0,353100.0,0.485698103,Single Family,Single Family,07 - Change in Property,RATIO TOO LOW / G04068,"PER MLS FINISHED BASMENT, 2 FULL BATHS, UPDATED KITCHEN AND BATH, CUSTOM PATIO",POINT (-73.47066 41.44814),False
1800307,2018,04/23/2019,New Milford,15 TAYLOR TERR,143640.0,95000.0,1.512,Single Family,Single Family,25 - Other,SALES RATIO,MOLD ISSUE PER MLS,POINT (-73.40937 41.59266),False
181095,2018,08/01/2019,Danbury,3 COMSTOCK ST,98200.0,240000.0,0.409166667,Single Family,Single Family,25 - Other,RATIO TOO LOW / I14334,UPDATED PER MLS,POINT (-73.44706 41.3941),False
190844,2019,07/01/2020,Danbury,51 JAMES ST,160500.0,185000.0,0.8676,Two Family,Two Family,25 - Other,J12181,"BELOW MARKET - PER MLS RESOLD 10/2020 FOR $227,000 WITH NO RENOVATION - SEE #200102",POINT (-73.43578 41.40292),False
190093,2019,02/18/2020,Cromwell,3 BELHAVEN,423640.0,665000.0,0.6371,Condo,Condo,07 - Change in Property,"DESIRABLE LOCATION, TPC","PER TOWN CARD CHANGES PER RE LISTING, NEW ASSESS = $439,810",POINT (-72.63531 41.6331),False
190033,2019,11/25/2019,Cromwell,11 IRON GATE LANE,240450.0,405000.0,0.5937,Condo,Condo,07 - Change in Property,DESIRABLE LOCATION,FINISHED ATTIC ABOVE GARAGE PER TOWN CARD. 2020 ASSESSMENT INCREASE.,POINT (-72.65312 41.60924),False
19010,2019,04/23/2020,Colebrook,10 ENO HILL ROAD,400700.0,441000.0,0.9086,Single Family,Single Family,07 - Change in Property,SENT SALES VERIFICATION,PER ASSESSOR CARD EXPANDED LOWER LEVEL WITH 2ND KITCHEN,POINT (-73.04317 41.98227),False
19000322,2019,06/09/2020,Cheshire,123 TULIP DR,118750.0,160000.0,0.7422,Single Family,Single Family,25 - Other,2 PARCELS ON SAME DEED WITH TULIP DR (5-52),SOLD WITH #19000323,POINT (-72.88083 41.56062),False
19434,2019,07/31/2020,Farmington,1700 FARMINGTON AV,226670.0,475000.0,0.4772,Four Family,Four Family,25 - Other,CASH SALE,NO MLS,POINT (-72.87672 41.75394),False
190950,2019,08/05/2020,Danbury,113 HAYESTOWN RD,180900.0,261620.0,0.6915,Condo,Condo,25 - Other,J08052,"PER MLS CLOSING PRICE = $254,000",POINT (-73.44164 41.42736),False
19004,2019,01/02/2020,Colebrook,326 COLEBROOK RIVER ROAD,135500.0,150000.0,0.9033,Single Family,Single Family,07 - Change in Property,SENT SALES VERIFICATION,"PER MLS SALE PRICE = $124,900 - PER ASSESSOR CARD REMODELED W/O PERMITS 2019",POINT (-73.04533 41.98415),False
190119,2019,04/09/2020,Cromwell,15 HEATHER COURT U59A,102620.0,170000.0,0.6036,Condo,Condo,25 - Other,DESIRABLE LOCATION,ESTATE SALE PER TOWN CARD,POINT (-72.68257 41.60751),False
190170,2019,11/18/2019,Danbury,14 PRESIDENT ST,110900.0,146233.0,0.7584,Single Family,Single Family,25 - Other,K16074,PER MLS SOLD AS IS - NEEDS MAJOR RENOVATION,POINT (-73.4344 41.38474),False
19006,2019,11/01/2019,Barkhamsted,23 FENN DR,198910.0,255000.0,0.780039216,Single Family,Single Family,28 - Use Assessment,"1972 CAPE, 2117 SFLA & 676 SFLA APT/BARN/GAR ,12 AC",PA 490 open space,POINT (-72.99392 41.91192),False
190169,2019,04/07/2020,Berlin,65 GLADDING PLACE,167400.0,269900.0,0.6202,Single Family,Single Family,07 - Change in Property,qualified sale,TOTAL RENOVATION PER MLS - SEE PREVIOUS SALE #180068,POINT (-72.78633 41.63451),False
180022,2018,10/09/2018,Vernon,134 EAST MAIN ST,66440.0,49500.0,1.342222222,Single Family,Single Family,25 - Other,UNKNOWN REASON,SHORT SALE PER MLS,POINT (-72.43976 41.86673),False
190117,2019,06/12/2020,Essex,40 NORTH MAIN ST,196900.0,205000.0,0.9605,Single Family,Single Family,25 - Other,IVORYTON,SHORT SALE PER MLS,POINT (-72.39185 41.35672),False
190156,2019,02/24/2020,Bethel,13 MECKAUER CIRCLE,214480.0,294812.0,0.7275,Single Family,Single Family,25 - Other,Shared Appreciation Mortgage,SEE #190155,POINT (-73.40142 41.39845),False
180051,2018,10/23/2018,Torrington,258 S MAIN ST,109280.0,95000.0,1.150315789,Two Family,Two Family,25 - Other,SALE NOT BETWEEN A WILLING BUYER AND SELLER,FIRE DAMAGE TO REAR BUILDING PER MLS,POINT (-73.12054 41.79515),False
190586,2019,04/02/2020,Danbury,43 JAMES ST,141300.0,135000.0,1.0467,Single Family,Single Family,25 - Other,RATIO TOO HIGH / J12149,NO MLS,POINT (-73.4367 41.40267),False
190686,2019,05/07/2020,Danbury,41 LAKE AV #5,101800.0,81000.0,1.2568,Condo,Condo,25 - Other,RATIO TOO HIGH / G15048-2,ESTATE SALE,POINT (-73.46735 41.38965),False
190041,2019,10/15/2019,Bristol,15 HARRISON ST,84630.0,235000.0,0.3601,Two Family,Two Family,25 - Other,MOTIVATED SELLER,RENOVATED PER MLS,POINT (-72.93496 41.67495),False
190068,2019,10/30/2019,Southington,265 MILL ST,168020.0,170000.0,0.988352941,Condo,Condo,25 - Other,OTHER,NEEDS RENOVATIONS PER MLS,POINT (-72.88731 41.60436),False
19471,2019,08/18/2020,Farmington,1634 FARMINGTON AV UNIT 11,61130.0,117000.0,0.5225,Condo,Condo,07 - Change in Property,THIS UNIT ALSO SOLD ON 5/5/2020 FOR $82000,TOTAL RENOVATION PER MLS - SEE PREVIOUS SALE #19274,POINT (-72.87296 41.75213),False
190215,2019,12/18/2019,Meriden,538 BROWNSTONE RDG,201880.0,160000.0,1.26175,Single Family,Single Family,14 - Foreclosure,DVA SALE,PURCHASE OF A FORECLOSED PROPERTY,POINT (-72.83298 41.53198),False
190732,2019,05/05/2020,Norwalk,2 BROWNE PL,595430.0,2374620.0,0.250747488,Single Family,Single Family,07 - Change in Property,6-33-3-0,NEW CONSTRUCTION,POINT (-73.43513 41.06013),False
190269,2019,06/22/2020,New London,91 WEST ST,73640.0,80000.0,0.9205,Single Family,Single Family,25 - Other,RATIO,NEEDS RENOVATION PER MLS - SOLD AS IS - CASH SALE PREFERRED,POINT (-72.1084 41.36121),False
19431,2019,02/26/2020,Hartford,22 BURNHAM ST,53795.0,90000.0,0.5977,Two Family,Two Family,25 - Other,NO CONVEYANCE,SHORT SALE PER MLS,POINT (-72.69666 41.80523),False
